STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-19,0,0,19,44,30,38
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-20,0.24,2,21,38,22,24
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-21,0.28,3,23,47,14,20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-22,0,0,22,50,20,33
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-23,0,0,20,56,31,35
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-24,0,0,19,56,30,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-25,0,0,18,56,28,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-26,0,0,16,40,30,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-27,0,0,15,47,26,31
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-28,0,0,14,56,25,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-29,0.58,7,20,48,31,35
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-30,0.02,1,21,35,16,23
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-31,0.28,4,,54,18,24
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-01,0.4,4,20,38,30,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-02,0.5,5,22,42,22,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-03,0.25,3,24,36,26,28
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-04,0.05,2,24,34,22,24
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-05,0,0,24,54,20,24
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-06,0,0,20,58,24,26
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-07,0,0,16,62,26,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-08,0,0,12,60,28,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-09,0,0,10,48,35,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-10,0,0,9,50,16,18
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-11,0,0,8,48,18,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-12,0,0,7,44,28,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-13,0,0,7,56,24,29
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-14,0,0,5,61,29,31
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-15,0,0,2,63,31,39
