"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06"
"USC00058575","VAIL, CO US","1989-05-05",,,,,"0.04","0.0","0.0","53","25","42",,,,,
"USC00058575","VAIL, CO US","1989-05-06",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-07",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-08",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-09",,,,,"0.00","0.0","0.0","74","25","56",,,,,
"USC00058575","VAIL, CO US","1989-05-10",,,,,"0.05","0.0","0.0","76","34","52",,,,,
"USC00058575","VAIL, CO US","1989-05-11",,,,,"0.03","0.0","0.0","67","32","53",,,,,
"USC00058575","VAIL, CO US","1989-05-12",,,,,"0.00","0.0","0.0","64","28","53",,,,,
"USC00058575","VAIL, CO US","1989-05-13",,,,,"0.00","0.0","0.0","57","23","38",,,,,
"USC00058575","VAIL, CO US","1989-05-14",,,,,,"0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-15","    2",,"0.28",,,"0.0","0.0","60","26","45",,,,,
"USC00058575","VAIL, CO US","1989-05-16",,,,,"0.00","0.0","0.0","55","31","44",,,,,
"USC00058575","VAIL, CO US","1989-05-17",,,,,"0.08","0.0","0.0","56","34","40",,,,,
"USC00058575","VAIL, CO US","1989-05-18",,,,,"0.02","0.0","0.0","61","29","52",,,,,
"USC00058575","VAIL, CO US","1989-05-19",,,,,"0.00","0.0","0.0","70","28","52",,,,,
"USC00058575","VAIL, CO US","1989-05-20",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-21",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-22",,,,,"0.00","0.0","0.0","74","26","67",,,,,
"USC00058575","VAIL, CO US","1989-05-23",,,,,"0.00","0.0","0.0","77","33","61",,,,,
"USC00058575","VAIL, CO US","1989-05-24",,,,,"0.00","0.0","0.0","74",,"60",,,,,
"USC00058575","VAIL, CO US","1989-05-25",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-26",,,,,"0.00","0.0","0.0","67","23","47",,,,,
"USC00058575","VAIL, CO US","1989-05-27",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-28",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-29",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-05-30",,,,,"0.00","0.0","0.0","79","23","54",,,,,
"USC00058575","VAIL, CO US","1989-05-31",,,,,"0.00","0.0","0.0","72","24","72",,,,,
"USC00058575","VAIL, CO US","1989-06-01",,,,,"0.00","0.0","0.0","68","25","50",,,,,
"USC00058575","VAIL, CO US","1989-06-02",,,,,"0.00","0.0","0.0","72","25","50",,,,,
"USC00058575","VAIL, CO US","1989-06-03",,,,,"0.00","0.0","0.0","72","31","55",,,,,
"USC00058575","VAIL, CO US","1989-06-04",,,,,"0.00","0.0","0.0","66","25","65",,,,,
"USC00058575","VAIL, CO US","1989-06-05",,,,,"0.01","0.0","0.0","67","25","48",,,,,
"USC00058575","VAIL, CO US","1989-06-06",,,,,"0.00","0.0","0.0","73","32","53",,,,,
"USC00058575","VAIL, CO US","1989-06-07",,,,,"0.02","0.0","0.0","71","32","51",,,,,
"USC00058575","VAIL, CO US","1989-06-08",,,,,"0.00","0.0","0.0","72","23","55",,,,,
"USC00058575","VAIL, CO US","1989-06-09",,,,,"0.22","0.0","0.0","66","31","43",,,,,
"USC00058575","VAIL, CO US","1989-06-10",,,,,"0.02","0.0","0.0","63","28","47",,,,,
"USC00058575","VAIL, CO US","1989-06-11",,,,,"0.12","0.0","0.0","83","33","61",,,,,
"USC00058575","VAIL, CO US","1989-06-12",,,,,"0.48","0.0","0.0","67","32","46",,,,,
"USC00058575","VAIL, CO US","1989-06-13",,,,,"0.07","0.0","0.0","62","33","48",,,,,
"USC00058575","VAIL, CO US","1989-06-14",,,,,"0.01","0.0","0.0","63","31","54",,,,,
"USC00058575","VAIL, CO US","1989-06-15",,,,,"0.00","0.0","0.0","74","31","73",,,,,
"USC00058575","VAIL, CO US","1989-06-16",,,,,"0.16","0.0","0.0","80","38","71",,,,,
"USC00058575","VAIL, CO US","1989-06-17",,,,,"0.00","0.0","0.0","81","36","57",,,,,
"USC00058575","VAIL, CO US","1989-06-18",,,,,"0.00","0.0","0.0","79","32","61",,,,,
"USC00058575","VAIL, CO US","1989-06-19",,,,,"0.00","0.0","0.0","85","35","82",,,,,
"USC00058575","VAIL, CO US","1989-06-20",,,,,"0.00","0.0","0.0","87","40","58",,,,,
"USC00058575","VAIL, CO US","1989-06-21",,,,,"0.00","0.0","0.0","79","36","48",,,,,
"USC00058575","VAIL, CO US","1989-06-22",,,,,"0.00","0.0","0.0","54","22","48",,,,,
"USC00058575","VAIL, CO US","1989-06-23",,,,,"0.00","0.0","0.0","66","38","55",,,,,
"USC00058575","VAIL, CO US","1989-06-24",,,,,"0.00","0.0","0.0","64","34","53",,,,,
"USC00058575","VAIL, CO US","1989-06-25",,,,,"0.00","0.0","0.0","78","33","79",,,,,
"USC00058575","VAIL, CO US","1989-06-26",,,,,"0.00","0.0","0.0","78","32","61",,,,,
"USC00058575","VAIL, CO US","1989-06-27",,,,,"0.00","0.0","0.0","76","31","60",,,,,
"USC00058575","VAIL, CO US","1989-06-28",,,,,"0.00","0.0","0.0","80","32","58",,,,,
"USC00058575","VAIL, CO US","1989-06-29",,,,,"0.00","0.0","0.0","81","41","60",,,,,
"USC00058575","VAIL, CO US","1989-06-30",,,,,"0.00","0.0","0.0","79","35","67",,,,,
"USC00058575","VAIL, CO US","1989-07-01",,,,,"0.00","0.0","0.0","85","32","64",,,,,
"USC00058575","VAIL, CO US","1989-07-02",,,,,"0.00","0.0","0.0","85","29","61",,,,,
"USC00058575","VAIL, CO US","1989-07-03",,,,,"0.00","0.0","0.0","88","38","68",,,,,
"USC00058575","VAIL, CO US","1989-07-04",,,,,"0.00","0.0","0.0","89","39","71",,,,,
"USC00058575","VAIL, CO US","1989-07-05",,,,,"0.00","0.0","0.0","92","38","69",,,,,
"USC00058575","VAIL, CO US","1989-07-06",,,,,"0.00","0.0","0.0","92","29","71",,,,,
"USC00058575","VAIL, CO US","1989-07-07",,,,,"0.00","0.0","0.0","95","44","70",,,,,
"USC00058575","VAIL, CO US","1989-07-08",,,,,"0.00","0.0","0.0","93","41","68",,,,,
"USC00058575","VAIL, CO US","1989-07-09",,,,,"0.00","0.0","0.0","90","41","74",,,,,
"USC00058575","VAIL, CO US","1989-07-10",,,,,"0.00","0.0","0.0","88","40","67",,,,,
"USC00058575","VAIL, CO US","1989-07-11",,,,,"0.21","0.0","0.0","87","41","59",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-12",,,,,"0.43","0.0","0.0","87","40","56",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-13",,,,,"0.52","0.0","0.0","68","39","57",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-14",,,,,"0.00","0.0","0.0","80","39","62",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-15",,,,,"0.01","0.0","0.0","78","37","71",,,,,
"USC00058575","VAIL, CO US","1989-07-16",,,,,"0.00","0.0","0.0","80","38","63",,,,,
"USC00058575","VAIL, CO US","1989-07-17",,,,,"0.00","0.0","0.0","83","35","62",,,,,
"USC00058575","VAIL, CO US","1989-07-18",,,,,"0.00","0.0","0.0","81","37","62",,,,,
"USC00058575","VAIL, CO US","1989-07-19",,,,,"0.00","0.0","0.0","84","39","67",,,,,
"USC00058575","VAIL, CO US","1989-07-20",,,,,"0.00","0.0","0.0","86","43","69",,,,,
"USC00058575","VAIL, CO US","1989-07-21",,,,,"0.00","0.0","0.0","88","42","66",,,,,
"USC00058575","VAIL, CO US","1989-07-22",,,,,"0.00","0.0","0.0","85","42","52",,,,,
"USC00058575","VAIL, CO US","1989-07-23",,,,,"0.15","0.0","0.0","80","32","65",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-24",,,,,"0.54","0.0","0.0","80","46","52",,"    1",,"    1",
"USC00058575","VAIL, CO US","1989-07-25",,,,,"0.11","0.0","0.0","62","51","62",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-26",,,,,"0.62","0.0","0.0","76","37","55",,"    1",,"    1",
"USC00058575","VAIL, CO US","1989-07-27",,,,,"0.00","0.0","0.0","75","44","60",,,,,
"USC00058575","VAIL, CO US","1989-07-28",,,,,"0.32","0.0","0.0","76","44","55",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-29",,,,,"0.48","0.0","0.0","78","45","55",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-30",,,,,"0.27","0.0","0.0","68","43","52",,"    1",,,
"USC00058575","VAIL, CO US","1989-07-31",,,,,"0.01","0.0","0.0","78","40","60",,"    1",,,
"USC00058575","VAIL, CO US","1989-08-01",,,,,"0.00","0.0","0.0","83","42","57",,,,,
"USC00058575","VAIL, CO US","1989-08-02",,,,,"0.75","0.0","0.0","78","51","55",,,,,
"USC00058575","VAIL, CO US","1989-08-03",,,,,"0.00","0.0","0.0","72","40","59",,,,,
"USC00058575","VAIL, CO US","1989-08-04",,,,,"0.05","0.0","0.0","75","41","57",,,,,
"USC00058575","VAIL, CO US","1989-08-05",,,,,"0.01","0.0","0.0","75","40","54",,,,,
"USC00058575","VAIL, CO US","1989-08-06",,,,,"0.00","0.0","0.0","76","38","58",,,,,
"USC00058575","VAIL, CO US","1989-08-07",,,,,"0.00","0.0","0.0","75","36","60",,,,,
"USC00058575","VAIL, CO US","1989-08-08",,,,,"0.00","0.0","0.0","76","36","59",,,,,
"USC00058575","VAIL, CO US","1989-08-09",,,,,"0.00","0.0","0.0","79","43","64",,,,,
"USC00058575","VAIL, CO US","1989-08-10",,,,,"0.20","0.0","0.0","78","46","60",,,,,
"USC00058575","VAIL, CO US","1989-08-11",,,,,"0.00","0.0","0.0","77","50","64",,,,,
"USC00058575","VAIL, CO US","1989-08-12",,,,,"0.12","0.0","0.0","72","46","60",,,,,
"USC00058575","VAIL, CO US","1989-08-13",,,,,"0.04","0.0","0.0","74","47","62",,,,,
"USC00058575","VAIL, CO US","1989-08-14",,,,,"0.00","0.0","0.0",,"47","59",,,,,
"USC00058575","VAIL, CO US","1989-08-15",,,,,"0.00","0.0","0.0","73","37","59",,,,,
"USC00058575","VAIL, CO US","1989-08-16",,,,,"0.00","0.0","0.0","77","41","58",,,,,
"USC00058575","VAIL, CO US","1989-08-17",,,,,"0.01","0.0","0.0","78","37","57",,,,,
"USC00058575","VAIL, CO US","1989-08-18",,,,,"0.15","0.0","0.0","70","42","54",,,,,
"USC00058575","VAIL, CO US","1989-08-19",,,,,"0.00","0.0","0.0","71","39","55",,,,,
"USC00058575","VAIL, CO US","1989-08-20",,,,,"0.45","0.0","0.0","86","35","59",,,,,
"USC00058575","VAIL, CO US","1989-08-21",,,,,"0.00","0.0","0.0","71","32","52",,,,,
